project	pr_number	id	key	url	bodyText	RQ1 - Scope	RQ1 - Understandability?	selected-sample	RQ2 - Understandability smells	RQ2 - Where	RQ3 - Acceptability	RQ4 - Improvement	RQ5 - Patch Merged	RQ5 - Patch reverted in the pull request	RQ5 - Patch in the last version of the file	RQ5 - Patch reverted in the codebase history	RQ6 - Spotbugs	RQ6 - PMD	RQ6 - SonarQube	RQ6 - Checkstyle	RQ6 - Covered	Implicit or Explicit?	Why is this related to understandability?
all-of-us/workbench	3624	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNDIyODc2Nw==	26	https://codeupcrc.github.io/?key=26	what if these objects don't have a common ID or don't have a common event time? It seems that this is an important assumption/requirement for your use case, so maybe it should be enforced along with the non-empty condition.	Javadoc	No	FALSE															
all-of-us/workbench	4244	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxNjk0MTQ1Ng==	22	https://codeupcrc.github.io/?key=22	opt: generally I think it's more readable to put the primary param first, followed by any optional / nullable / less-important params	Code	Yes	FALSE															
all-of-us/workbench	3333	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNjkzMDYyMA==	27	https://codeupcrc.github.io/?key=27	What should be defined by a setter?	Comments	Yes	TRUE	Incomplete or inadequate code documentation	Method	Accepted	Change code comment to better explain the associated code element	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer asked for a code comment. This change does not impact functionality or performance.
all-of-us/workbench	3634	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzMzk1Mzg4Ng==	25	https://codeupcrc.github.io/?key=25	Good catch, thank you!  Could you add a test for this if you haven't already?	Comments	No	FALSE															
all-of-us/workbench	3108	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3Nzk0NTA3Mw==	29	https://codeupcrc.github.io/?key=29	flow issue again	Comments	No	FALSE															
all-of-us/workbench	3879	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3MTU2OTY5NQ==	23	https://codeupcrc.github.io/?key=23	Should we create a stringToDate method to use here?	Code	No	FALSE															
all-of-us/workbench	3139	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MDk1MzA0Mw==	28	https://codeupcrc.github.io/?key=28	[no action] Not saying you should do it here, but one thing I've started doing in PRs is trying to Autowire a service like this when I find myself having to update constructors in random, unrelated places. It does have a fully-expected side effect of blowing up the scope of a PR though... :)	Code	No	FALSE															
all-of-us/workbench	2992	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NTM3NjQ3NA==	32	https://codeupcrc.github.io/?key=32	I'd externalize the prefix all-of-us-. I don't know from this statement what its scope is. Also, one pet peeve I have is that if we're using hyphens to delineate subparts of an identifier, then it should be allofus-. Likely way too late.	Code	No	FALSE															
alluxio/alluxio	10718	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NTAzMzk3NA==	39	https://codeupcrc.github.io/?key=39	I think our convention is like:                         Suggested change                                                                                                  private static final String FILE_SIZE_OPTION = "hive.file.minsize";                                                  private static final String FILE_SIZE_OPTION = "hive.file.size.min";	String value	Yes	TRUE	Wrong, missing, or inadequate string expression or literal	Literal	Accepted	Change magic value to adhere to project standards	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Explicit	Explicitely asks to keep conventions
alluxio/alluxio	11112	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4OTA5OTE0MA==	36	https://codeupcrc.github.io/?key=36	Do we have to get rid of this?	Code	Yes	TRUE	Unnecessary Code	Method	Accepted	Remove non-referred constant, import, class, method, or variable	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer ask if it is necessary remove the method and it is confirmed because it is unused
alluxio/alluxio	10963	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MjczNzcyOQ==	37	https://codeupcrc.github.io/?key=37	should all integration tests just use a shorter refresh time, like 20ms?	Code	No	FALSE															
alluxio/alluxio	10963	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MjczNzg4OQ==	38	https://codeupcrc.github.io/?key=38	if the test config has a faster time, this doesn't have to be set, right?	Code	No	FALSE															
alluxio/alluxio	11377	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxOTc0Nzg5OQ==	35	https://codeupcrc.github.io/?key=35	what's the reason for using = here?	Code	No	FALSE															
alluxio/alluxio	12579	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzMDcyMzM3Nw==	33	https://codeupcrc.github.io/?key=33	wrong indent?	Code	Yes	FALSE															
alluxio/alluxio	11535	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzOTExMjQwMQ==	34	https://codeupcrc.github.io/?key=34	This could block for a long time, and thus block other RPCs (including heartbeats) for a long time?	Code	No	FALSE															
ankidroid/anki-android	6550	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTM4ODE4MQ==	41	https://codeupcrc.github.io/?key=41	might as well remove rather than commenting out	Code	Yes	TRUE	Unnecessary Code	Call	Not Accepted											Implicit	The comment asks to remove a line of code instead of commenting it. 
ankidroid/anki-android	6138	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyMjU0MTgzNg==	44	https://codeupcrc.github.io/?key=44	Nit: these lines are a little too long, could you extract remoteContext.getResources() and remoteContext.getResources().getConfiguration() via Ctrl+Alt+V (extract variable) as it's used by both branches.	Code	Yes	FALSE															
ankidroid/anki-android	6138	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNjE4ODM0MQ==	45	https://codeupcrc.github.io/?key=45	(optional) - It would be useful to add a couple of unit tests here (if possible - cultures can be a pain) as the functionality has changed. Mostly to document the new intent of the code	Code	Yes	FALSE															
ankidroid/anki-android	6766	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MjQxMTI4Ng==	40	https://codeupcrc.github.io/?key=40	I'd prefer to just keep the (unfriendly) current names as well - as sort of an ecosystem compatibility thing. The names attached to the data are a bit like an API and better to pass that through then make what is essentially a translation layer. So this would be ankiGetCardMod, and other getCardId etc Avoiding naming confusion+education-need+problems and referring upstream is the desired outcome for me with that stance - upstream docs will remain relevant for reference	Code	Yes	TRUE	Bad identifier	Method	Accepted	Modify an identifier to express the meaning or type of an element	Yes		No	No	NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer recommended renaming a variable. This change does not impact functionality or performance.
ankidroid/anki-android	6362	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNTU0NzA2MQ==	42	https://codeupcrc.github.io/?key=42	Would be nice to Timber.d the count	Code	No	FALSE															
ankidroid/anki-android	6004	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwODQ3ODIxMg==	46	https://codeupcrc.github.io/?key=46	if it's mildly unexpected but fine to continue without, should be Timber.w I think. Unimportant in the grand scheme, but just want to either have a good debate on or harmonize on log levels. I consider 'e' to be things where you need to bomb out of an activity entirely, almost completely unrecoverable but not quite a crash.	Other	Yes	FALSE															
ankidroid/anki-android	6233	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyOTE1ODAwOQ==	43	https://codeupcrc.github.io/?key=43	Could you change the title of the PR if there's a functional change mixed in	Code	No	FALSE															
antennapod/antennapod	3975	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5OTc5NTcyNQ==	51	https://codeupcrc.github.io/?key=51	The UI should not be responsible for doing playback actions. If the user closes the UI, episodes should still get skipped. When adding the skipping code like this and swiping out the player during playback, this is no longer the case. Additionally, this introduces code duplication. This should be done centrally, somewhere in the PlaybackService.	Code	No	FALSE															
antennapod/antennapod	4289	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1OTA2NDAwNw==	49	https://codeupcrc.github.io/?key=49	Why is this needed? I do not think that the section divider should stay selected after clicking.	Code	No	FALSE															
antennapod/antennapod	3745	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NDgzODA0OA==	53	https://codeupcrc.github.io/?key=53	Be careful. This is not a preference but an option in a dialog.	Code	No	FALSE															
antennapod/antennapod	4486	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5ODg5OTAyNg==	47	https://codeupcrc.github.io/?key=47	I would also remove the mute part. Could be confusing otherwise.	Code	No	FALSE															
antennapod/antennapod	4058	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxMTcxODU0OA==	50	https://codeupcrc.github.io/?key=50	Sorry for taking so long to respond. If you use addQueueItem(this, false, false, ((FeedMedia) playable).getId()) instead, it does not need to do the database query that retrieves the item. By the way, this also fixes #3277 :) 👍	Code	No	FALSE															
antennapod/antennapod	3975	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMDAwODQyNw==	52	https://codeupcrc.github.io/?key=52	This is no longer needed, I think.	Code	Discard	FALSE															
antennapod/antennapod	4401	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5ODk3NjE3MA==	48	https://codeupcrc.github.io/?key=48	Is there any class where constants like this one are saved, I did not find an appropriate one. Furthermore I changed the duration to 750ms which is the time for one repetition.	Code	Yes	FALSE															
anuken/mindustry	3791	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzNjkzMTU4OQ==	54	https://codeupcrc.github.io/?key=54	This should check for a double-tap. If I click a sector once, then click it once again later, it should not send me there.	Code	No	FALSE															
anuken/mindustry	2863	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMjgyODY2NA==	55	https://codeupcrc.github.io/?key=55	Pitch should not be random.	Code	No	FALSE															
anuken/mindustry	2089	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyODAyNzA5NQ==	56	https://codeupcrc.github.io/?key=56	Where is firstSchematic defined? This doesn't look like it will compile.	Code	No	FALSE															
apache/accumulo	1818	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU1NjU0MTYwMQ==	57	https://codeupcrc.github.io/?key=57	We should avoid using Hadoop's Daemon. I doubt that is stable public API. Even if it is, we don't want to increase our dependency on Hadoop library code for this. It should be simple to construct the object assigned to a local variable, set it to daemon, and start it in 3 statements, rather than rely on a the Hadoop library.	Code	No	FALSE															
apache/accumulo	1818	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU1NjU4NDEyNw==	58	https://codeupcrc.github.io/?key=58	With a lambda, this would be slightly shorter:       Threads.createThread("Halt Thread", () -> {         sleepUninterruptibly(100, TimeUnit.MILLISECONDS);         Runtime.getRuntime().halt(status);       }).start();	Code	Yes	TRUE	Complex, long, or inadequate logic	Call	Accepted	Replace anonymous inner class or method calling chain by lambda	Yes		Yes		NONE	NONE	Anonymous inner classes containing only one method should become lambdas	NONE	TRUE	Implicit	The code change is a replace for adhere to a pattern
apache/accumulo	1653	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NjU1ODk5Ng==	59	https://codeupcrc.github.io/?key=59	This could use a small comment above it to explain what situation it is checking for.	Comments	Yes	FALSE															
apache/accumulo	1480	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MDE2Njg3Nw==	62	https://codeupcrc.github.io/?key=62	Should describe what this class is doing.	Javadoc	Yes	FALSE															
apache/accumulo	1558	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MDYzNTEyMg==	61	https://codeupcrc.github.io/?key=61	What is the significance of depth 4? Could add to a comment.	Comments	Yes	TRUE	Incomplete or inadequate code documentation	Conditional	Accepted	Add code comment to explain an expression	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer asked for documentation to clarify the code for other developers. No impact on functionality or performance.
apache/accumulo	1569	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NzkwMzU0OA==	60	https://codeupcrc.github.io/?key=60	Some of the deprecated properties have the following in their description.  I think this is nice for the generated documentation.                         Suggested change                                                                                                      "The number of threads to use when moving user files to bulk ingest "                                                      "This property is deprecated since 2.1.0. The number of threads to use when moving user files to bulk ingest "	String value	Yes	TRUE	Wrong, missing, or inadequate string expression or literal	Literal	Accepted	Extend a string literal	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer asks for details in the code documentation. It helps developers to understand the element with which the text is associated.
apache/activemq-artemis	3025	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MzkwNDI1MQ==	67	https://codeupcrc.github.io/?key=67	After the reconnection, the deliveringCount should be equal to the prefetchSize.	Code	No	FALSE															
apache/activemq-artemis	3129	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNDM1ODA2OQ==	63	https://codeupcrc.github.io/?key=63	@gemmellr I saw an email from you asking about Strings defined here but I can't see the comment. (was it deleted?) I see your point ... I needed this as SimpleString at some point, and my code changes along the way in a way I don't need it any more.. thanks... ammended.	Code	No	FALSE															
apache/activemq-artemis	3129	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNDQyNjYwNg==	64	https://codeupcrc.github.io/?key=64	Seems like this might be unused now that the loop it was in before is gone?	Code	Yes	TRUE	Unnecessary Code	Variable	Accepted	Remove non-referred constant, import, class, method, or variable	Yes		Yes		NONE	NONE	Unused assignments should be removed	NONE	TRUE	Implicit	The reviewer suggests removing an unused variable. This change does not affect functionality or performance.
apache/activemq-artemis	3063	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMzkxNTY5Ng==	66	https://codeupcrc.github.io/?key=66	I would encapsulate this logic in a separate method on a separate class to make it more readeable an d shorter ie translation from request to QueueConfiguration	Code	Yes	TRUE	Complex, long, or inadequate logic	Method	Accepted	Extract method	Yes		Yes		NONE	ExcessiveMethodLength	NONE	MethodLength	TRUE	Explicit	The comment says explicitly that it aims to make the code more readable
apache/activemq-artemis	3129	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNDI5OTgyOQ==	65	https://codeupcrc.github.io/?key=65	Couldn't we just define the String to begin with instead? Perhaps over-eager optimisation, but would some sort of fixed mapping/lookup for the already-known/'popular' cases (or just recently-seen ones) be preferable to calling this and concat'ing and substring'ing and replacing the same things repeatedly for each applicable message?	Code	No	FALSE															
apache/beam	12054	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTIwMTQ3Ng==	69	https://codeupcrc.github.io/?key=69	Could we test extracting from a time that actually have a microsecond sub component, like '15;30:35.123456789'?	Code	No	FALSE															
apache/beam	11873	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNDE4ODUxNQ==	70	https://codeupcrc.github.io/?key=70	Minor suggestion:                         Suggested change                                                                                                      if (overriddenTransform.getNeedsAttributes() | overriddenTransform.getNeedsMessageId()) {                                                      if (overriddenTransform.getNeedsAttributes() || overriddenTransform.getNeedsMessageId()) {	Code	No	FALSE															
apache/beam	13161	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwOTY2MjI4MA==	68	https://codeupcrc.github.io/?key=68	We can use for (int index = 0 ; index < length; index++) to get ride of counter.	Code	Yes	FALSE															
apache/beam	10949	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4Njc0NTI3MA==	72	https://codeupcrc.github.io/?key=72	For View.asIterable it makes the most sense to scan a random distance into the iterable. The most important use case is when you cannot read it all into a list, I think. Both cases are interesting: reading the whole iterable and reading just a prefix.	Code	No	FALSE															
apache/beam	11715	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNTg4NzU5Ng==	71	https://codeupcrc.github.io/?key=71	Suggested change                                                                                                 * A special {@link OffsetRangeTracker} for tracking a growable offset range. The Long.MAX_VALUE is                                                 * used as end range to indicate the possibility of infinity.                                                 *                                                 * <p>A offset range is considered as growable when the end offset could grow(or change) during                                                 * execution time(e.g., Kafka backlog, appended file).                                                 * An {@link OffsetRangeTracker} for tracking a growable offset range. {@code Long.MAX_VALUE} is                                                 * used as end range to indicate the possibility of infinity.                                                 *                                                 * <p>An offset range is considered growable when the end offset could grow (or change) during                                                 * execution time (e.g., Kafka topic partition offset, appended file, ...).	Javadoc	Yes	FALSE															
apache/calcite	1896	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjc0Mzg2Nw==	77	https://codeupcrc.github.io/?key=77	Why this change ?	Code	No	FALSE															
apache/calcite	2255	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyMTUxNDk4OA==	73	https://codeupcrc.github.io/?key=73	Should this be moved outside of the loop?	Code	No	FALSE															
apache/calcite	1833	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4NDQ0NTExMA==	79	https://codeupcrc.github.io/?key=79	Is it documented anywhere?	Comments	Yes	FALSE															
apache/calcite	2039	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MzQ2OTQ2Mw==	74	https://codeupcrc.github.io/?key=74	Thanks a lot to keep this String getDigest, which is heavily relied on in our internal code base.	Javadoc	No	FALSE															
apache/calcite	1983	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNDA4MDUzMw==	76	https://codeupcrc.github.io/?key=76	The type of condition can be RexNode rather than List.	Code	No	FALSE															
apache/calcite	1853	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MDQ5NDkwMQ==	78	https://codeupcrc.github.io/?key=78	You can remove this method.	Code	Discard	FALSE															
apache/calcite	2006	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzOTc4MjQzNA==	75	https://codeupcrc.github.io/?key=75	Do we need to keep the keys order?	Code	No	FALSE															
apache/camel	3777	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxODQ0NTA3OA==	84	https://codeupcrc.github.io/?key=84	This will read the entire stream into memory. Camel has a stream caching feature. Maybe we should revisit this later.	Code	No	FALSE															
apache/camel	3901	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzMzOTY4Ng==	82	https://codeupcrc.github.io/?key=82	I wonder if we should prefix it with grpc, eg grpcBindableServiceFactory	String value	Yes	FALSE															
apache/camel	3551	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NjMwMDAwOA==	86	https://codeupcrc.github.io/?key=86	My IDE reports that publisher reports this could be null, does it make sense to check for nullity here?	Code	No	FALSE															
apache/camel	4614	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNzU1MDA1NQ==	80	https://codeupcrc.github.io/?key=80	Can we avoid swagger imports, as we should ideally only use the datamodel from apicurio.	Code	Yes	FALSE															
apache/camel	3518	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MTExODA3OA==	87	https://codeupcrc.github.io/?key=87	Can we use here primitiveinstead of the boxedInteger`?	Code	No	FALSE															
apache/camel	3705	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjMwNjQ0MQ==	85	https://codeupcrc.github.io/?key=85	I think you can replace autodetectParser with parser == null and eliminate the three-args constructor.	Code	Yes	TRUE	Complex, long, or inadequate logic	Parameter	Accepted	Replace the use of a parameter by an expression with another parameter	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The suggestion ask to replcace ona argument for an expression avoid to use a unnecessary argument. We consider that the intention is to improve the understandability od the code.
