id	url	bodyText	What (is the problem?)	Where (is the problem?)	Accepted?
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxNzMwNTQxNw==	https://codeupcrc.github.io/?key=340	Rename the field as well?  Since it's now an executor and not a handler...	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0MTAyNTE5OA==	https://codeupcrc.github.io/?key=350	@olenagerasimova as you are using java standard library in this method, I'd suggest to use HttpURLConnection.HTTP_OK instead of parsing RsStatus.OK value	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5OTY0NTUyMg==	https://codeupcrc.github.io/?key=352	@olenagerasimova guess there is typo and this method's name is supposed to be config, not configs, isn't it?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3OTYxOTkzNg==	https://codeupcrc.github.io/?key=372	Change to 2020 in all new files	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NDkzMjg4Mw==	https://codeupcrc.github.io/?key=380	Anything here?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5NjE3NDUxNg==	https://codeupcrc.github.io/?key=373	NIT: add a comment. requirementMap is a groupId->requirement map	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MTQ3MzE0OA==	https://codeupcrc.github.io/?key=391	hasTrait?	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNDIyMzEzNQ==	https://codeupcrc.github.io/?key=389	This comment seems off, service suppressions is what's throwing me. Also, if "service" is supposed to be namespace, the precedence listed is incorrect.	Incomplete or inadequate code documentation	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxODkxNDk2Nw==	https://codeupcrc.github.io/?key=388	assumed*	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNDUxOTQxOQ==	https://codeupcrc.github.io/?key=387	The method names on these are inconsistent: getOutputTokenMember -> getOutputTokenPath getItemsMember -> getItemsMemberPath Since the original names are intact, I'd make this one getOutputTokenMemberPath.	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NDg1NzQ5MA==	https://codeupcrc.github.io/?key=407	I'd add something to this exception stating that no parameters are expected for an aggregate's annotated methods. Should be careful with the wording though, as a command handler is also an annotated method of an aggregate of course 😅	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MTAwOTA3OA==	https://codeupcrc.github.io/?key=416	nit: same, can be replaced by returning Collections.singleton().	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzODM5MDA5MQ==	https://codeupcrc.github.io/?key=428	Suggested change                                                                                                     * @return The response object                                                     * @return The response object.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTIxMzgyNg==	https://codeupcrc.github.io/?key=427	missing return	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzMzQ2NjE3Mg==	https://codeupcrc.github.io/?key=429	Suggested change                                                                                                     * close the content.                                                     *                                                     * @throws IOException if close operation fails                                                     * Close the content.                                                     *                                                     * @throws IOException if the close operation fails	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwOTAwMjcwOQ==	https://codeupcrc.github.io/?key=435	This would be easier to understand if you do: if (this.hidden != null) {     this.retrievable = !this.hidden; } Shouldn't the retrievable logic be done after setting the member variable? not before?	Complex, long, or inadequate logic	Conditional	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NTQxMDgzMw==	https://codeupcrc.github.io/?key=444	Should these be removed?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzODk2OTI0MA==	https://codeupcrc.github.io/?key=457	On a second thought, this might be already added via options(). Could you please check?	Complex, long, or inadequate logic	Call	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwODkzNzM4MA==	https://codeupcrc.github.io/?key=458	This is not the parentLockContext() but the lockContext itself, please rename. Also, please rename the class to LockRequest.	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MDc0NDA1Ng==	https://codeupcrc.github.io/?key=453	Rename this field to active.	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNzM5MTQzNA==	https://codeupcrc.github.io/?key=463	We could use symTag to check for BPackageSymbol and BAnnotationSymbol	Complex, long, or inadequate logic	Operation	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MTEzMDk4OQ==	https://codeupcrc.github.io/?key=469	Suggested change                                                                                                        // Get org-name                                                        // Get the name of the organization.	Incomplete or inadequate code documentation	Conditional	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMDU0MzMwNg==	https://codeupcrc.github.io/?key=486	I'd prefer we changed this as it reads strangely to me. So instead of "isLastCharWasEscapeChar" we could do "wasLastCharEscapeChar".	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNjg2ODg4Ng==	https://codeupcrc.github.io/?key=542	In general, avoid this type of pattern where an exception is caught, logged, and then re-thrown. What ends up happening is that the error gets logged here and then later on by the caller, generating extra logs and confusing the user. Instead, you can wrap the exception with a more specific error message and propagate it up. Something like: throw new IllegalArgumentException("...", e);  The message should also give more information to the user about what they should do to fix the problem. This particular case can only happen when the format was a macro, otherwise it would have caused an error in configurePipeline. So a better message would be: Format '{}' cannot be used because properties {} were not provided or were invalid when the pipeline was deployed. Set the format to a different value, or re-create the pipeline with all required properties.	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3MDc1ODE5Mg==	https://codeupcrc.github.io/?key=571	Also: this variable should be named identifierType.	Bad identifier	Parameter	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTgyNzc0OQ==	https://codeupcrc.github.io/?key=579	Suggested change                                                                                                    public static Practitioner createPractitionerResource(String NPI, String orgID) {                                                    public static Practitioner createPractitionerResource(String npi, String orgID) {                                 Would you be okay with making this and the MBI parameter in createPatientResource() lowercase? Might get mistaken for constants if someone is scanning the code quickly.	Bad identifier	Parameter	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxMjkyNzc5Mw==	https://codeupcrc.github.io/?key=590	I believe it's better to use the CATEGORY_PREFIX variable from CategoryClient here rather than hard coding the prefix.	Missing constant usage	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MzI4NTI4MA==	https://codeupcrc.github.io/?key=626	Just use !secondaryIndexes.isEmpty()?	Complex, long, or inadequate logic	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NjMxNDU3Nw==	https://codeupcrc.github.io/?key=637	I think a "why" comment would be more useful here. Explain why the commonSuperType logic above can fail and which cases are enabled here.	Incomplete or inadequate code documentation	Variable	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1NDY2MDQ2OA==	https://codeupcrc.github.io/?key=644	The return is implicit for a void method, so you can just have an empty method body between the curly braces.	Unnecessary Code	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMjI0OTg5MA==	https://codeupcrc.github.io/?key=670	Tiny nit: "LSN" -> "Lsn" (this isn't done consistently across the code base yet, but it's the casing we want to converge on eventually for abbreviations in type/method/variable names).	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NDA5NDgzOA==	https://codeupcrc.github.io/?key=678	It can sometimes be helpful to note given/when/then is the tests to enhance readability for other developers.         //given         String root = Paths.get("").toAbsolutePath().toString();         if (SystemUtils.IS_OS_WINDOWS) {             root = "/" + root.replace(File.separator, "/");         }         URL baseUrl = new URL("file:" + root + "/src/test/resources/example/");         String part = "./services/wordpress.yml";          //when         String actual = URLHelper.combine(baseUrl, part);          //then         String expected = "file:" + root + "/src/test/resources/example/services/wordpress.yml";          assertEquals(expected, actual);	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2OTA1MzcyMg==	https://codeupcrc.github.io/?key=683	more spaces please	Inconsistent or disrupted formatting	Operation	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyOTg1MTU4OA==	https://codeupcrc.github.io/?key=688	Can probably be safely removed	Unnecessary Code	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MzcyNjQzOA==	https://codeupcrc.github.io/?key=691	We can remove this soft assert as well as this path will definitely get hit for someone using this functionality,	Inadequate logging and monitoring	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxMTAzNzMyNQ==	https://codeupcrc.github.io/?key=692	For future, you don't have to say "it is ", the test runner will automatically say something like: "expected: potato" "actual: tomato"	Wrong, missing, or inadequate string expression or literal	Literal	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3OTQ2NTcyMQ==	https://codeupcrc.github.io/?key=702	I would replace the iterator with a normal for over categoriesList for (final String categoryId : categoriesList)	Complex, long, or inadequate logic	Loop	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3OTUxNTQyNg==	https://codeupcrc.github.io/?key=704	You can use Logger.warnAndDebug method instead	Inadequate logging and monitoring	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyODc2NjU1MA==	https://codeupcrc.github.io/?key=710	As referred this name is confusing to me. Perhaps with a more detailed description I can help you find a better name.	Bad identifier	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3ODMzNjYwMA==	https://codeupcrc.github.io/?key=724	is there a chance that infoCache could be confused by localInterfacesOnly since the key is always this class? I didn't go thorough all use cases, but just wondering if such possibility has been considered.	Bad identifier	Parameter	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MjI2MzA1NQ==	https://codeupcrc.github.io/?key=727	Suggested change                                                                                                   * @throws java.lang.ClassCastException if the value cannot be converted to Number                                                   * @throws java.lang.ClassCastException if the value is not a Number                                 There is no conversion, only casting.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NzMwNTQzOA==	https://codeupcrc.github.io/?key=737	I like the statement / query / {collector}? / execution API flow.	Complex, long, or inadequate logic	Call	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3NDI2MTMzMg==	https://codeupcrc.github.io/?key=755	No need to have a PR here. You should have a reference of what it was replaced by as a link to code. Take a look at other deprecate examples in the project.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4MzkxMTg3Ng==	https://codeupcrc.github.io/?key=754	Please drop the test prefix in the name.	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0OTMyNzEwNQ==	https://codeupcrc.github.io/?key=756	One request, can you add a method doc similar to the one above method?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4OTYwMjg1OA==	https://codeupcrc.github.io/?key=762	remove extra empty line	Inconsistent or disrupted formatting	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MTY1OTkxNg==	https://codeupcrc.github.io/?key=766	the last known gateway id ?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NjQ3OTY1Ng==	https://codeupcrc.github.io/?key=771	This doesn't seem to be used.	Unnecessary Code	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4NDM0MTc2Nw==	https://codeupcrc.github.io/?key=779	Rename this variable	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NjUyMjkzNA==	https://codeupcrc.github.io/?key=780	Shall we remove the method also?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzMzg0MDU0MQ==	https://codeupcrc.github.io/?key=777	These urls can be converted into an array of strings and then we can use a loop for setting them here.. better than hardcoding	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NDY2NTQ4Nw==	https://codeupcrc.github.io/?key=786	Please change message to "Expected and actual values are not the same."	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMzA0MzU2Mg==	https://codeupcrc.github.io/?key=802	@link on this and the next line please	Incomplete or inadequate code documentation	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NTYzOTA4OA==	https://codeupcrc.github.io/?key=803	Update date	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NTk5MzQyNA==	https://codeupcrc.github.io/?key=812	No need for Lists.newArrayList	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0OTQxMTA5Mw==	https://codeupcrc.github.io/?key=808	Collections.emptyList would do.	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMTIzNDU4NQ==	https://codeupcrc.github.io/?key=811	Typo in variable name	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0NzIzNDcwMA==	https://codeupcrc.github.io/?key=816	unused constant.	Unnecessary Code	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzMzc3MjkzOA==	https://codeupcrc.github.io/?key=821	Please remove KITS, CRASHLYTICS, ANSWER as well	Unnecessary Code	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0NzIzNDYyOQ==	https://codeupcrc.github.io/?key=817	name should be course_enrollment.	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxOTk0NzE5Mw==	https://codeupcrc.github.io/?key=824	does it allows to make log4j plugin management work with relocation ? If yes, it might be a good idea to add a comment to make it a bit more explicit.	Incomplete or inadequate code documentation	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MzI2MzE1Ng==	https://codeupcrc.github.io/?key=839	@PublicAPI instead of @beta	Incomplete or inadequate code documentation	Annotation	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwODc4OTY5Nw==	https://codeupcrc.github.io/?key=840	Suggested change                                                                                                  private ReferenceQueue                                                      refQueue; // References are automatically enqueued when the gc flags them as unreachable.                                                  private Set refMaintainer; // Maintains references in the object graph while we wait for them to                                                                             // be enqueued.                                                  private RefQueueThread                                                      refQueueThread; // Blocks on the reference queue and calls the releaser of queued references.                                                  // References are automatically enqueued when the gc flags them as unreachable.                                                  private ReferenceQueue refQueue;                                                                                                  // Maintains references in the object graph while we wait for them to                                                  // be enqueued.                                                  private Set refMaintainer;                                                                                                  // Blocks on the reference queue and calls the releaser of queued references.                                                  private RefQueueThread refQueueThread;	Inconsistent or disrupted formatting	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NTA5Njk5NQ==	https://codeupcrc.github.io/?key=854	Suggested change                                                                                                    private boolean cancelled;                                                    private boolean cancelled = false;	Complex, long, or inadequate logic	Attribute	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MjI4NDY2Mg==	https://codeupcrc.github.io/?key=860	Suggested change                                                                                                    TransferManagerConfiguration tmConfig = transferManager.getConfiguration();                                                    TransferManagerConfiguration managerConfig = transferManager.getConfiguration();	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzOTI0MTU2Mg==	https://codeupcrc.github.io/?key=858	OMG, not sure how this slipped through but we don't want * imports, please get your IDE to expand these.	Complex, long, or inadequate logic	Import	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxODAxOTIxOQ==	https://codeupcrc.github.io/?key=902	These variables are getting confused. Some of them are property names and some of them are default property values. They should be visually separate in the file.	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MjMzMzMxNw==	https://codeupcrc.github.io/?key=919	This is not a very good exception, let's tell the developer what is wrong in each case and how they could fix it.	Inadequate logging and monitoring	Try-Catch	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzMzMyNjg4NQ==	https://codeupcrc.github.io/?key=949	Here and in other places, I'd remove the static nulls and just put null. I think the code is pretty clear without the need for static nulls	Unnecessary Code	Attribute	Accepted
